Date,MocHoa,MyTho,CaoLanh,BaTri,CangLong,ChauDoc,CanTho,SocTrang,PhuQuoc,RachGia,BacLieu,CaMau,ToanVung
12-May,172.1,135.9,167.7,241.2,261.6,188.6,71.6,274.4,,181.9,270.9,249.7,201.4181818
12-Jun,214,123.1,106.5,169,141.4,81.6,136.5,212.1,,145.5,130.9,166.3,147.9
12-Jul,177.1,376.3,353.6,236.7,292.3,210,133.1,222.6,,192.8,202.6,288.5,244.1454545
12-Aug,128.1,64.3,131.2,147.3,62.4,86.3,90.7,115.9,,220.2,155.4,218.4,129.1090909
12-Sep,345.8,328.5,190,365.7,391.6,151.8,299.7,504.1,,553.8,536.1,533.3,381.8545455
12-Oct,658,211.4,238.9,381.4,379.1,172.2,200.6,179.9,,189.2,148.7,192.4,268.3454545
12-Nov,59.9,20.3,116.6,44.7,37.5,146.7,15.8,52.3,,143.1,64.1,91.4,72.03636364
12-Dec,25.2,11.8,15,16.5,18.4,1.1,16,9.6,,10.7,29.8,11.8,15.08181818
13-Jan,9.3,36,7.8,7.9,74.1,3,15.1,16.2,,63.1,5.9,36.9,25.02727273
13-Feb,0.1,0,4.3,4.4,3.5,0.9,3.7,7,,1.5,11.9,8.1,4.127272727
13-Mar,15.6,0.1,0,0,0.3,0.2,0,4,,0.5,0,0,1.881818182
13-Apr,58.5,68.4,69.2,62.9,90,38,54.5,198.8,,102.5,212,104.3,96.28181818
13-May,158.1,116.2,120.7,176.5,106,147.5,169.1,118.7,,244.3,290.3,196,167.5818182
13-Jun,93.4,155.8,204.2,184.6,216.9,98.4,255.2,185.7,,448.5,251.2,291.6,216.8636364
13-Jul,93.4,275.4,128.3,178.6,173,100.6,156.8,276.7,,326.9,234.5,258.4,200.2363636
13-Aug,155,252.2,223.5,299,174.5,88.7,112.6,202,,155.6,242.6,288.3,199.4545455
13-Sep,85.3,203,362,320.9,259.5,205.9,336.7,307.7,,421.6,389.5,233,284.1
13-Oct,359.6,241.7,218.8,258.6,147.6,219.5,138.9,141.3,,310.3,212.7,265.1,228.5545455
13-Nov,114,179.4,150.2,116.3,165.7,58.5,94.6,80,,154.4,105.7,230.5,131.7545455
13-Dec,0.4,22.3,32.7,2.8,28.4,43,2.5,1.9,,70,0,29.1,21.19090909
14-Jan,20.1,24.7,1.1,0.7,22.1,0,1.4,0.1,,0,0,8.3,7.136363636
14-Feb,0,0,0,0,0,0,0,0,,0,0,0,0
14-Mar,0,0,0.3,0,0,1.4,0,0,,5,0,0,0.609090909
14-Apr,172.8,84.9,164.7,45,94.1,114.2,87.5,38.6,,86,1.9,61.2,86.44545455
14-May,20,24.4,111.9,97.3,87.9,126.9,197.1,262.7,,149.2,166.1,153.6,127.0090909
14-Jun,151.1,293.8,189.9,274.4,164.6,95.3,232.8,199.1,,296.5,196.8,190.3,207.6909091
14-Jul,140.1,189.3,63.3,192.1,181.6,66.1,293.4,317.2,,381.1,255.1,388.6,224.3545455
14-Aug,204,258.1,80.5,254.4,234.8,47.2,98.6,208.2,,253.5,418.5,341.7,218.1363636
14-Sep,169.3,168.7,100.2,247.3,165.7,98.4,298.1,299.4,,304.9,313.7,273.3,221.7272727
14-Oct,200.3,250.2,308.5,121.3,290.9,247.8,234.2,228,,238.3,112.6,254.4,226.0454545
14-Nov,169.4,50.3,123.8,32.6,109.9,69.4,175.3,180.7,,201.1,328.1,291.3,157.4454545
14-Dec,17.5,100.6,35.3,24.4,32.2,41.6,109.4,94.1,,26.1,42.7,103,56.99090909
15-Jan,13.1,4.8,1,1.2,2.9,0,0,2.7,,5.2,1.1,43.6,6.872727273
15-Feb,0,0,0,0,0,0,0,0,,0,0,0,0
15-Mar,0,0,0,0,0,0,0,0,,0,0,0,0
15-Apr,12.2,3.4,44.2,8,26.5,37,25.7,77.6,,30.6,28,6.4,27.23636364
15-May,6.9,57,60.3,108.7,43,25.9,168.3,138.1,,197.4,155,131.6,99.29090909
15-Jun,177.5,240.9,187.4,161.9,245.3,77.2,292,264.7,,323,344.8,466.6,252.8454545
15-Jul,89.5,337,103.4,242.2,202.7,88.6,208.2,99.9,,143.4,320.9,200.7,185.1363636
15-Aug,94.4,98.6,81.3,103.6,85.6,124.1,125.8,233.2,,140.3,272.8,250.6,146.3909091
15-Sep,149.5,402.7,216.8,367.2,323.7,206.1,288.6,312.3,,406.2,313.3,645.3,330.1545455
15-Oct,232,175.9,175.2,291.3,254,168.4,269.6,219.4,,112.6,183.5,231.4,210.3
15-Nov,213,41.1,187.9,10.4,60.7,168.4,92.3,41,,169.4,96.8,272.4,123.0363636
15-Dec,58.4,9.3,26.9,14.3,62,21.2,27.7,5.6,,0.5,29.9,48.6,27.67272727
16-Jan,0,53,0.5,0,10.4,0,0.7,0,,0,0,0.2,5.890909091
16-Feb,0,0.4,0,0,0.4,0,0,0.4,,0,0,2.1,0.3
16-Mar,0,0,0,0,0,0,0,0,,0,0,0,0
16-Apr,0,0,0,0,0,0,1.8,0,,0,0,4,0.527272727
